,gu,address,food,name,rating,lat,lng
0,강북구,서울 강북구 도봉로 142 1층,치킨,교촌치킨 미아역점,4.3,37.6215396768441,127.028379309336
1,종로구,서울 종로구 백석동길 7,치킨,계열사,4.34,37.5928758823147,126.965602533813
2,종로구,"서울 종로구 사직로8길 21-1 1, 2층",치킨,효도치킨 광화문점,4.38,37.5746362867009,126.971058563556
3,용산구,서울 용산구 신흥로3길 2,피자,보니스피자펍,4.47,37.5411902186846,126.986934700494
4,중구,서울 중구 을지로13길 19,야식,만선호프 노가리체인본점,4.27,37.5672526483999,126.991781298913
5,종로구,서울 종로구 종로3길 17 D타워 replace 광화문 2층 4호,아시안/양식,온더보더 광화문D타워점,4.38,37.5709958592808,126.978914477333
6,종로구,"서울 종로구 돈화문로11다길 30 지하철 1,3,5호선 종로3가역 6번 출구로 나오셔서 뒤로 돌아 골목길로 좌회전하신 후 쭉 오시면 바로 보입니다.(도보 5분 소요)",야식,아트몬스터 익선동점,4.43,37.5736063679023,126.990455924572
7,중구,서울 중구 수표로 52 2층,야식,아트몬스터 을지로점,4.52,37.5657709109319,126.989973041455
8,마포구,서울 마포구 백범로 152,치킨,바른치킨 공덕파크자이점,4.36,37.5447477438441,126.948258201287
9,성북구,서울 성북구 동소문로20길 37-12,아시안/양식,치치 성신여대점,4.58,37.5909612865207,127.017556769742
10,종로구,서울 종로구 북촌로 6-4 1층,패스트푸드,다운타우너 안국,4.56,37.5774676298082,126.986372066894
11,중구,서울 중구 명동2길 52,찜탕,영양센터 본점,4.34,37.5611114383997,126.983123103544
12,종로구,서울 종로구 사직로12길 22,아시안/양식,내자살롱,4.51,37.5751538896762,126.970983422739
13,서대문구,서울 서대문구 통일로39가길 10-3,한식,용씨네 누룽지통닭구이,4.42,37.5887446180135,126.943512783806
14,용산구,서울 용산구 청파로47길 39 2층,아시안/양식,마시앤바시,4.55,37.5445265528802,126.96811828483
15,중구,서울 중구 을지로11길 18 을지로 수표교호프,야식,수표교호프 을지로본점,4.38,37.5671879005403,126.991008097493
16,마포구,서울 마포구 도화길 35 1층(도화동),야식,크래프트한스 마포점,4.35,37.5412765400077,126.949686880172
17,강북구,서울 강북구 노해로8길 29 201호,아시안/양식,도원결의,5.0,37.6385265392717,127.024206386368
18,종로구,서울 종로구 자하문로1길 50 황금모이,아시안/양식,황금모이,4.55,37.5769233023341,126.969706906218
19,강북구,서울 강북구 노해로8가길 9 1층,치킨,바른치킨 수유점,4.74,37.6385002758504,127.023537006079
20,용산구,서울 용산구 신흥로 136-1 해방집,야식,해방집,4.92,37.5453040585688,126.981899582168
21,중구,서울 중구 서애로 12-20,아시안/양식,다시열린하얀집,4.42,37.5615284299124,126.997584344692
22,종로구,서울 종로구 자하문로1나길 1,야식,이주당,4.39,37.5765635584984,126.971612863275
23,강북구,서울 강북구 인수봉로 238,야식,화수브루어리 서울강북점,4.56,37.640282181227,127.01197907255
24,종로구,서울 종로구 청계천로 71 청계천 휴,야식,청계천 휴,4.3,37.5687834664513,126.98550002156
25,중구,서울 중구 명동4길 2 2층,치킨,BBQ치킨 명동스타점,4.26,37.5634495691314,126.983437910806
26,서대문구,서울 서대문구 통일로11길 10-1,치킨,바른치킨 서대문점,4.48,37.5692488745847,126.962416910194
27,마포구,서울 마포구 숭문길 28,치킨,찌니네마약통닭 염리2호점,4.48,37.547634144584,126.945564998668
28,성북구,서울 성북구 동소문로6길 22 1층,치킨,후라이드참잘하는집 한성대점,4.4,37.588248857682,127.008496480723
29,종로구,서울 종로구 창경궁로26길 38 2층,피자,피자보이시나 대학로점,4.55,37.5818578785766,126.999820556879
30,종로구,서울 종로구 대학로8가길 36,아시안/양식,피쉬앤그릴 대학로점,4.35,37.5824871067378,127.002471580913
31,강북구,서울 강북구 노해로8길 1 페넬로페,야식,페넬로페,4.46,37.6378984020527,127.023161798832
32,종로구,서울 종로구 종로 294 2층,치킨,교촌치킨 동대문1호점,4.43,37.5712625089941,127.010715368227
33,성북구,서울 성북구 고려대로24길 6 문원빌딩 3층,아시안/양식,오샬,4.54,37.5859712626691,127.02921256961
34,성동구,서울 성동구 행당로 127,치킨,청년치킨,4.56,37.5584445175145,127.032957514823
35,성북구,서울 성북구 동소문로20다길 6 2층 1984 혜화시장,아시안/양식,1984혜화시장 성신여대점,4.59,37.5915962712159,127.017179416507
36,성동구,서울 성동구 한림말3길 29 2층,아시안/양식,제이드앤워터,4.41,37.5436483262883,127.015311526062
37,중구,서울 중구 장충단로 247 굿모닝시티 쇼핑몰 지하 3층,아시안/양식,에베레스트레스토랑 동대문역사문화공원점,4.38,37.5668021171335,127.007358177138
38,종로구,서울 종로구 종로 305 2층(창신동),아시안/양식,에베레스트커리월드,4.75,37.5721202665129,127.011562895713
39,성동구,서울 성동구 장터길 30-1 2층,아시안/양식,다락방,4.91,37.5482071647268,127.019256055354
40,성북구,서울 성북구 고려대로26길 12,치킨,노랑통닭 고대점,4.47,37.585706482392,127.029846719816
41,성북구,서울 성북구 보문로30길 43-5,야식,생활맥주 성신여대점,4.29,37.5894116869853,127.019183332391
42,마포구,서울 마포구 새창로 16,치킨,호치킨 마포도화점,4.45,37.5420188957293,126.951681495847
43,종로구,서울 종로구 돈화문로11길 26,아시안/양식,익선동노가리마켓,4.05,37.5726833459574,126.98994121133
44,종로구,서울 종로구 새문안로 103 지하,아시안/양식,옴레스토랑 광화문점,4.5,37.5705293260846,126.976089119166
45,도봉구,서울 도봉구 도봉로113길 7 1층,치킨,치킨마루 쌍문점,4.33,37.6479366327791,127.033623529587
46,마포구,서울 마포구 마포대로 195 1단지상가 107호,치킨,호치킨 마포래미안푸르지오점,4.38,37.5518094602317,126.954039818166
47,성북구,서울 성북구 길음로 74 길음뉴타운 508동,치킨,굽네치킨 길음1동점,4.21,37.6092896639058,127.021033925155
48,마포구,"서울 마포구 백범로 205 (신공덕동, 펜트라우스)101동 B232호",치킨,BHC치킨 공덕점,4.37,37.544105595914,126.954130094052
49,중구,서울 중구 남대문로1길 41,치킨,치킨매니아 북창동점,4.38,37.5628757661001,126.977201340376
50,강북구,서울 강북구 한천로 1182,치킨,맘스터치 덕성여대점,4.43,37.6484283154314,127.014582870267
51,동대문구,서울 동대문구 장한로2길 19 2층,야식,첫잔처럼,4.45,37.5621504755369,127.066250485183
52,강남구,서울 강남구 봉은사로4길 37 지하 1층,치킨,꼭그닭 강남점,4.44,37.5024397550837,127.027110612786
53,강남구,서울 강남구 논현로175길 68,야식,한추,4.19,37.5240817556959,127.023448636065
54,강남구,서울 강남구 선릉로157길 23 2층 피자덕후 피자힙,피자,피자덕후 피자힙 압구정점,4.91,37.5261064144049,127.037944716693
55,성동구,서울 성동구 왕십리로4길 10-3 1층,돈까스/일식,카린지_린가네 스낵바,4.45,37.5455780079168,127.045872166016
56,강남구,서울 강남구 압구정로46길 71 1층,피자,클랩피자 청담,4.52,37.5240994991916,127.036589355975
57,강남구,서울 강남구 강남대로156길 35,돈까스/일식,이끼롤까스 가로수길점,4.52,37.5189626537243,127.021853424456
58,강남구,서울 강남구 언주로164길 24 아크로스빌딩 지상1층 GODEAT,아시안/양식,갓잇 도산공원점,4.62,37.5254251236695,127.035474222088
59,강남구,서울 강남구 강남대로98길 11 메트로빌딩 1층,야식,왕스펍,4.39,37.5008847132213,127.027482685232
60,강남구,서울 강남구 도산대로89길 17,야식,잔비워,4.46,37.5256996267181,127.050848501132
61,강남구,서울 강남구 강남대로 468 충림빌딩 지하2층 코다차야강남점,돈까스/일식,코다차야 강남점,4.37,37.5041550738018,127.025144947963
62,강남구,서울 강남구 테헤란로87길 22 도심공항 1층,아시안/양식,온더보더 코엑스도심공항점,4.42,37.5096322564759,127.059443354483
63,강남구,서울 강남구 영동대로 513 코엑스몰 1층 전시 A2홀 맞은편,피자,캘리포니아피자키친 코엑스점,4.3,37.5118239121138,127.059159043842
64,강남구,서울 강남구 테헤란로 521 f-13호,피자,폴리스 파르나스몰점,4.36,37.5091916919873,127.06080691987
65,강남구,서울 강남구 도산대로1길 78 1층 나무문,치킨,계인전 보타니카,4.29,37.5216468285043,127.019829544674
66,송파구,서울 송파구 백제고분로22길 6 1층 104호,치킨,청년치킨 삼전점,4.3,37.5033876564161,127.089112418342
67,송파구,서울 송파구 백제고분로7길 19,치킨,깐부치킨 잠실신천역점,4.35,37.5106930275481,127.080942428
68,성북구,서울 성북구 보문로34길 70 2층,돈까스/일식,윤휘식당,4.43,37.5910470741557,127.019207756314
69,송파구,서울 송파구 올림픽로35길 112 장미아파트 B상가 지하1층 19-1호,돈까스/일식,치마오,4.34,37.5178827571707,127.101802779596
70,강남구,서울 강남구 봉은사로29길 11,야식,빨대포차,4.73,37.5084504392067,127.0344216874
71,동대문구,서울 동대문구 서울시립대로27길 49 1층,돈까스/일식,명동이발관,4.74,37.5848080635348,127.052242197728
72,강남구,서울 강남구 삼성로 212 은마상가 3번출입구 A블럭 지하 67호,치킨,오미닭강정,4.61,37.4996157705058,127.065915414443
73,광진구,서울 광진구 아차산로33길 27 1층,아시안/양식,서귀포로맨스 건대점,4.55,37.5415726081603,127.070257102381
74,강남구,서울 강남구 강남대로98길 16,돈까스/일식,경성야시장,4.05,37.500739444601,127.027979213399
75,강남구,서울 강남구 선릉로76길 23 계명빌딩,한식,청춘닭볶이,4.56,37.5019743478204,127.052391954124
76,광진구,서울 광진구 아차산로25길 13,야식,역전할머니맥주 건대점,4.37,37.5420255559555,127.066655979077
77,강남구,서울 강남구 언주로134길 33,야식,서울황태,4.13,37.5171869313277,127.038243349613
78,강남구,서울 강남구 도산대로53길 14 1층,패스트푸드,다운타우너 청담,4.6,37.524064899915,127.038573907268
79,서초구,서울 서초구 서초대로77길 43,아시안/양식,푸른술집할라 강남점,4.79,37.5013914688515,127.024910034409
80,성동구,서울 성동구 연무장5길 9-16 블루스톤타워 B103,패스트푸드,르프리크,4.55,37.5444391065296,127.052659059956
81,성동구,서울 성동구 왕십리로24길 13 돈까스전원,돈까스/일식,돈까스전원,4.51,37.5636441158247,127.034099246236
82,서초구,서울 서초구 서초대로77길 41 2층,아시안/양식,주다방 강남역점,4.14,37.5012446735418,127.025011541805
83,성북구,서울 성북구 길음로 33,치킨,깐부치킨 길음역점,4.42,37.6050832927233,127.022078590713
84,송파구,서울 송파구 백제고분로11길 35,치킨,호치킨 신천점,4.5,37.5084416337197,127.083352243348
