food,city,gu,dong,road,address,lat,lng
치킨,서울특별시,강북구,미아동,솔샘로,서울특별시 강북구 솔샘로 (미아동),37.6198793811348,127.019226385271
한식,서울특별시,강북구,미아동,솔샘로,서울특별시 강북구 솔샘로 (미아동),37.6198793811348,127.019226385271
치킨,서울특별시,강북구,미아동,삼양로,서울특별시 강북구 삼양로 (미아동),37.6379547525636,127.017129356939
치킨,서울특별시,강남구,역삼동,도곡로3길,서울특별시 강남구 도곡로3길 (역삼동),37.491099558182,127.032932538523
패스트푸드,서울특별시,성북구,정릉동,서경로,서울특별시 성북구 서경로 (정릉동),37.6109758149435,127.0141111987
족발/보쌈,서울특별시,강북구,미아동,삼양로,서울특별시 강북구 삼양로 (미아동),37.6379547525636,127.017129356939
회,서울특별시,강북구,미아동,솔샘로50길,서울특별시 강북구 솔샘로50길 (미아동),37.6193546401101,127.019261477163
분식,서울특별시,강북구,미아동,삼양로27길,서울특별시 강북구 삼양로27길 (미아동),37.6188863615547,127.018351349621
돈까스/일식,서울특별시,강북구,미아동,솔샘로48길,서울특별시 강북구 솔샘로48길 (미아동),37.619396160772,127.01822053455
도시락,서울특별시,강북구,미아동,솔샘로48길,서울특별시 강북구 솔샘로48길 (미아동),37.619396160772,127.01822053455
한식,서울특별시,강북구,미아동,삼양로29길,서울특별시 강북구 삼양로29길 (미아동),37.6191032914546,127.020178444426
중식,서울특별시,강북구,미아동,삼양로32나길,서울특별시 강북구 삼양로32나길 (미아동),37.6200520130442,127.0218024437
야식,서울특별시,강북구,미아동,솔샘로,서울특별시 강북구 솔샘로 (미아동),37.6198793811348,127.019226385271
치킨,서울특별시,마포구,성산동,월드컵로32길,서울특별시 마포구 월드컵로32길 (성산동),37.562746960587,126.906147166764
치킨,서울특별시,마포구,성산동,월드컵로32길,서울특별시 마포구 월드컵로32길 (성산동),37.562746960587,126.906147166764
족발/보쌈,서울특별시,구로구,개봉동,개봉로17길,서울특별시 구로구 개봉로17길 (개봉동),37.4912792437148,126.852807720193
분식,서울특별시,구로구,개봉동,개봉로1나길,서울특별시 구로구 개봉로1나길 (개봉동),37.4846823985352,126.852493901163
찜탕,서울특별시,구로구,고척동,고척로32길,서울특별시 구로구 고척로32길 (고척동),37.5016488576171,126.849822772622
찜탕,서울특별시,구로구,고척동,고척로32길,서울특별시 구로구 고척로32길 (고척동),37.5016488576171,126.849822772622
회,서울특별시,구로구,개봉동,개봉로20길,서울특별시 구로구 개봉로20길 (개봉동),37.4932533637634,126.859252196369
한식,서울특별시,구로구,고척동,경인로35길,서울특별시 구로구 경인로35길 (고척동),37.4999337386638,126.852568286828
피자,서울특별시,구로구,개봉동,고척로,서울특별시 구로구 고척로 (개봉동),37.5019552138842,126.847513150127
피자,서울특별시,구로구,개봉동,고척로,서울특별시 구로구 고척로 (개봉동),37.5019552138842,126.847513150127
족발/보쌈,서울특별시,구로구,개봉동,개봉로11길,서울특별시 구로구 개봉로11길 (개봉동),37.4879200963407,126.853449319826
치킨,서울특별시,구로구,개봉동,개봉로11길,서울특별시 구로구 개봉로11길 (개봉동),37.4879200963407,126.853449319826
한식,서울특별시,구로구,개봉동,개봉로11길,서울특별시 구로구 개봉로11길 (개봉동),37.4879200963407,126.853449319826
야식,서울특별시,구로구,개봉동,남부순환로97길,서울특별시 구로구 남부순환로97길 (개봉동),37.494167718004,126.859717617043
