,date,sex,age_group,order_amt,order_cnt
0,201901,남,20대,100676078,4702
1,201901,남,30대,340178597,14885
2,201901,남,40대,200274889,8715
3,201901,남,50대,66215884,2991
4,201901,남,60대이상,14937982,645
5,201901,여,20대,215652038,10215
6,201901,여,30대,702928194,31402
7,201901,여,40대,486421646,21331
8,201901,여,50대,157239175,7247
9,201901,여,60대이상,35545913,1538
10,201902,남,20대,97926511,4579
11,201902,남,30대,344704759,14515
12,201902,남,40대,200339551,8783
13,201902,남,50대,62755554,2848
14,201902,남,60대이상,15845667,679
15,201902,여,20대,209654558,9834
16,201902,여,30대,683704656,30497
17,201902,여,40대,478357633,20622
18,201902,여,50대,142423688,6710
19,201902,여,60대이상,35646383,1421
20,201903,남,20대,114286191,5499
21,201903,남,30대,377280424,16877
22,201903,남,40대,227150399,10159
23,201903,남,50대,73021837,3442
24,201903,남,60대이상,17523937,769
25,201903,여,20대,242501597,11484
26,201903,여,30대,745746182,33551
27,201903,여,40대,511562376,22604
28,201903,여,50대,165095900,7957
29,201903,여,60대이상,41777174,1838
30,201904,남,20대,119821895,5919
31,201904,남,30대,361750117,17225
32,201904,남,40대,226931248,10387
33,201904,남,50대,76550622,3520
34,201904,남,60대이상,17222348,757
35,201904,여,20대,247595107,11855
36,201904,여,30대,754125801,34638
37,201904,여,40대,540365099,24394
38,201904,여,50대,181982768,8874
39,201904,여,60대이상,42963838,1885
40,201905,남,20대,142008871,7074
41,201905,남,30대,420176915,20271
42,201905,남,40대,252478968,11712
43,201905,남,50대,84248976,4084
44,201905,남,60대이상,21549100,938
45,201905,여,20대,291001219,14112
46,201905,여,30대,892455352,41588
47,201905,여,40대,625979413,28512
48,201905,여,50대,207431302,10323
49,201905,여,60대이상,53174878,2334
50,201906,남,20대,154414903,7710
51,201906,남,30대,446736606,21369
52,201906,남,40대,279920242,12847
53,201906,남,50대,100628455,4766
54,201906,남,60대이상,24605296,1046
55,201906,여,20대,304028193,14757
56,201906,여,30대,920517228,42511
57,201906,여,40대,681434598,31258
58,201906,여,50대,229405004,11078
59,201906,여,60대이상,55554774,2318
60,201907,남,20대,170801984,8467
61,201907,남,30대,476169057,22868
62,201907,남,40대,316322491,14438
63,201907,남,50대,106558816,5095
64,201907,남,60대이상,25900999,1144
65,201907,여,20대,332485972,16164
66,201907,여,30대,1008928255,46566
67,201907,여,40대,808815463,36824
68,201907,여,50대,257003714,12681
69,201907,여,60대이상,53488779,2553
70,201908,남,20대,187687818,9840
71,201908,남,30대,525946824,26741
72,201908,남,40대,356379727,16651
73,201908,남,50대,115277756,5442
74,201908,남,60대이상,27047929,1265
75,201908,여,20대,357470701,17717
76,201908,여,30대,1095563520,52252
77,201908,여,40대,902972504,42065
78,201908,여,50대,283635785,14314
79,201908,여,60대이상,64377240,3039
80,201909,남,20대,182864594,9408
81,201909,남,30대,489972762,24562
82,201909,남,40대,326903006,14974
83,201909,남,50대,101612400,4930
84,201909,남,60대이상,27682536,1143
85,201909,여,20대,336624626,16639
86,201909,여,30대,980488017,46296
87,201909,여,40대,797274202,36817
88,201909,여,50대,252749285,12541
89,201909,여,60대이상,57147528,2691
90,201910,남,20대,204377388,10775
91,201910,남,30대,540415758,27297
92,201910,남,40대,376311352,17153
93,201910,남,50대,119058285,5884
94,201910,남,60대이상,30168081,1369
95,201910,여,20대,378734414,18843
96,201910,여,30대,1094315960,52020
97,201910,여,40대,918022370,42641
98,201910,여,50대,293947939,14750
99,201910,여,60대이상,61372907,3082
100,201911,남,20대,221532690,11138
101,201911,남,30대,563315663,27302
102,201911,남,40대,403037273,17849
103,201911,남,50대,126547490,6099
104,201911,남,60대이상,29112999,1325
105,201911,여,20대,393088454,19206
106,201911,여,30대,1136609822,52605
107,201911,여,40대,953482016,42997
108,201911,여,50대,306428776,15150
109,201911,여,60대이상,67190379,3076
110,201912,남,20대,252135431,13066
111,201912,남,30대,690828645,32488
112,201912,남,40대,488077154,21269
113,201912,남,50대,153715925,7259
114,201912,남,60대이상,37046328,1565
115,201912,여,20대,467945768,23207
116,201912,여,30대,1362065927,62323
117,201912,여,40대,1171803807,51888
118,201912,여,50대,369510759,17897
119,201912,여,60대이상,80375434,3627
120,202001,남,20대,263005009,13317
121,202001,남,30대,680885739,32199
122,202001,남,40대,496329315,21342
123,202001,남,50대,150578727,7028
124,202001,남,60대이상,36214716,1556
125,202001,여,20대,494449577,24182
126,202001,여,30대,1367652019,62545
127,202001,여,40대,1173774549,51758
128,202001,여,50대,362866267,17063
129,202001,여,60대이상,77758802,3532
130,202002,남,20대,281015079,13835
131,202002,남,30대,758386980,35029
132,202002,남,40대,582184461,24374
133,202002,남,50대,179742112,8014
134,202002,남,60대이상,41796995,1704
135,202002,여,20대,555514734,26568
136,202002,여,30대,1561356641,69626
137,202002,여,40대,1443513947,61458
138,202002,여,50대,418268954,19017
139,202002,여,60대이상,90184331,3984
140,202003,남,20대,337353497,16688
141,202003,남,30대,909257002,41227
142,202003,남,40대,723247753,29649
143,202003,남,50대,231403130,10011
144,202003,남,60대이상,52581601,1993
145,202003,여,20대,633063293,30249
146,202003,여,30대,1853538514,81008
147,202003,여,40대,1797322510,75335
148,202003,여,50대,537829218,23945
149,202003,여,60대이상,113298859,4739
150,202004,남,20대,325528492,16307
151,202004,남,30대,850949499,39146
152,202004,남,40대,678770127,28569
