,gu,age_group,population,male,female
0,종로구,20대 미만,18355,9182,9173
1,종로구,20대,28087,13055,15032
2,종로구,30대,10782,5416,5366
3,종로구,40대,9502,4744,4758
4,종로구,50대,9816,4756,5060
5,종로구,60대 이상,72294,34205,38089
6,중구,20대 미만,13062,6469,6593
7,중구,20대,21638,9858,11780
8,중구,30대,11071,5530,5541
9,중구,40대,10223,5188,5035
10,중구,50대,8925,4618,4307
11,중구,60대 이상,61377,28989,32388
12,용산구,20대 미만,28024,14183,13841
13,용산구,20대,33936,15552,18384
14,용산구,30대,20341,10211,10130
15,용산구,40대,18855,9570,9285
16,용산구,50대,16947,8610,8337
17,용산구,60대 이상,103559,48778,54781
18,성동구,20대 미만,37588,18830,18758
19,성동구,20대,47524,23298,24226
20,성동구,30대,23416,11288,12128
21,성동구,40대,23654,12000,11654
22,성동구,50대,21408,10916,10492
23,성동구,60대 이상,132851,62842,70009
24,광진구,20대 미만,42650,21622,21028
25,광진구,20대,67253,30930,36323
26,광진구,30대,30235,14985,15250
27,광진구,40대,25764,12784,12980
28,광진구,50대,24651,12275,12376
29,광진구,60대 이상,156505,73862,82643
30,동대문구,20대 미만,43121,21625,21496
31,동대문구,20대,68804,32341,36463
32,동대문구,30대,25602,13095,12507
33,동대문구,40대,24673,12682,11991
34,동대문구,50대,24282,12575,11707
35,동대문구,60대 이상,161674,77080,84594
36,중랑구,20대 미만,46053,23570,22483
37,중랑구,20대,53927,26395,27532
38,중랑구,30대,29131,14697,14434
39,중랑구,40대,27544,14267,13277
40,중랑구,50대,27114,14226,12888
41,중랑구,60대 이상,196503,93205,103298
42,성북구,20대 미만,64953,32619,32334
43,성북구,20대,75804,34780,41024
44,성북구,30대,28749,14366,14383
45,성북구,40대,29948,14907,15041
46,성북구,50대,31385,15506,15879
47,성북구,60대 이상,204638,95243,109395
48,강북구,20대 미만,34094,17410,16684
49,강북구,20대,41241,19895,21346
50,강북구,30대,18486,9531,8955
51,강북구,40대,18318,9567,8751
52,강북구,50대,20032,10435,9597
53,강북구,60대 이상,160404,74418,85986
54,도봉구,20대 미만,40162,20663,19499
55,도봉구,20대,41136,20389,20747
56,도봉구,30대,18682,9454,9228
57,도봉구,40대,19513,9999,9514
58,도봉구,50대,20931,10555,10376
59,도봉구,60대 이상,168730,78342,90388
60,노원구,20대 미만,80338,41385,38953
61,노원구,20대,73192,36989,36203
62,노원구,30대,29886,14984,14902
63,노원구,40대,31736,15715,16021
64,노원구,50대,36604,17491,19113
65,노원구,60대 이상,252107,115599,136508
66,은평구,20대 미만,62943,32248,30695
67,은평구,20대,62829,29752,33077
68,은평구,30대,32382,15625,16757
69,은평구,40대,32890,16380,16510
70,은평구,50대,34516,17186,17330
71,은평구,60대 이상,231789,106958,124831
72,서대문구,20대 미만,42586,20860,21726
73,서대문구,20대,60756,26126,34630
74,서대문구,30대,23010,11146,11864
75,서대문구,40대,22063,10942,11121
76,서대문구,50대,21815,10816,10999
77,서대문구,60대 이상,144276,66660,77616
78,마포구,20대 미만,50154,25345,24809
79,마포구,20대,65210,28607,36603
80,마포구,30대,32613,15047,17566
81,마포구,40대,30990,15004,15986
82,마포구,50대,28826,14033,14793
83,마포구,60대 이상,157366,72823,84543
84,양천구,20대 미만,76137,39468,36669
85,양천구,20대,54194,27291,26903
86,양천구,30대,25677,12894,12783
87,양천구,40대,28512,13947,14565
88,양천구,50대,34962,16514,18448
89,양천구,60대 이상,213859,101848,112011
90,강서구,20대 미만,77452,39455,37997
91,강서구,20대,82683,37649,45034
92,강서구,30대,50053,24745,25308
93,강서구,40대,46237,23673,22564
94,강서구,50대,44214,22338,21876
95,강서구,60대 이상,259141,120655,138486
96,구로구,20대 미만,55708,28615,27093
97,구로구,20대,54729,26728,28001
98,구로구,30대,33607,17106,16501
99,구로구,40대,32993,17350,15643
100,구로구,50대,32584,17124,15460
101,구로구,60대 이상,216569,105345,111224
102,금천구,20대 미만,26229,13334,12895
103,금천구,20대,37429,18464,18965
104,금천구,30대,21591,11869,9722
105,금천구,40대,18155,10148,8007
106,금천구,50대,16449,9050,7399
107,금천구,60대 이상,127517,62595,64922
108,영등포구,20대 미만,48514,25054,23460
109,영등포구,20대,58561,27048,31513
110,영등포구,30대,39283,19936,19347
111,영등포구,40대,34904,18435,16469
112,영등포구,50대,30057,15973,14084
113,영등포구,60대 이상,191626,93571,98055
114,동작구,20대 미만,49511,25216,24295
115,동작구,20대,70102,33478,36624
116,동작구,30대,32154,16268,15886
117,동작구,40대,28632,14514,14118
118,동작구,50대,27861,14149,13712
119,동작구,60대 이상,179792,83674,96118
120,관악구,20대 미만,47786,24571,23215
121,관악구,20대,112856,54456,58400
122,관악구,30대,51210,28310,22900
123,관악구,40대,36408,19937,16471
124,관악구,50대,32640,17592,15048
125,관악구,60대 이상,214835,102941,111894
126,서초구,20대 미만,71307,36391,34916
127,서초구,20대,49156,23188,25968
128,서초구,30대,27464,12822,14642
129,서초구,40대,29554,13675,15879
130,서초구,50대,34610,15959,18651
131,서초구,60대 이상,180173,85391,94782
132,강남구,20대 미만,86376,44894,41482
133,강남구,20대,65281,30848,34433
134,강남구,30대,36758,17335,19423
135,강남구,40대,37496,17179,20317
136,강남구,50대,44353,20121,24232
137,강남구,60대 이상,232696,110450,122246
138,송파구,20대 미만,101016,51757,49259
139,송파구,20대,86054,40686,45368
140,송파구,30대,50886,24333,26553
141,송파구,40대,52144,25022,27122
142,송파구,50대,52195,25155,27040
143,송파구,60대 이상,292370,138485,153885
144,강동구,20대 미만,71015,37287,33728
145,강동구,20대,58184,28296,29888
146,강동구,30대,33898,16735,17163
147,강동구,40대,35993,17912,18081
148,강동구,50대,37290,18631,18659
149,강동구,60대 이상,214654,102042,112612
